Border,Date,Measure,Sum,Avg
US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,74776,2136
US-Canada Border,12/01/2019 12:00:00 AM,Buses,3172,90
US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,22377,745
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3873280,47235
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,1992476,24005
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,60875,2646
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,166832,7253
US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,13718,596
US-Canada Border,12/01/2019 12:00:00 AM,Trains,1774,80
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,102803,1370
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,328319,4497
US-Canada Border,12/01/2019 12:00:00 AM,Trucks,417733,5496
US-Canada Border,11/01/2019 12:00:00 AM,Bus Passengers,96580,2414
US-Canada Border,11/01/2019 12:00:00 AM,Buses,4650,116
US-Canada Border,11/01/2019 12:00:00 AM,Pedestrians,24574,744
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,3550247,42774
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicles,1929352,22968
US-Canada Border,11/01/2019 12:00:00 AM,Rail Containers Empty,60954,2650
US-Canada Border,11/01/2019 12:00:00 AM,Rail Containers Full,160397,6973
US-Canada Border,11/01/2019 12:00:00 AM,Train Passengers,10827,470
US-Canada Border,11/01/2019 12:00:00 AM,Trains,1783,81
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Empty,112668,1522
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Full,356469,4883
US-Canada Border,11/01/2019 12:00:00 AM,Trucks,455384,5991
US-Canada Border,10/01/2019 12:00:00 AM,Bus Passengers,146932,3265
US-Canada Border,10/01/2019 12:00:00 AM,Buses,6316,137
US-Canada Border,10/01/2019 12:00:00 AM,Pedestrians,46365,1448
US-Canada Border,10/01/2019 12:00:00 AM,Personal Vehicle Passengers,4050384,48218
US-Canada Border,10/01/2019 12:00:00 AM,Personal Vehicles,2223629,26160
US-Canada Border,10/01/2019 12:00:00 AM,Rail Containers Empty,61515,2674
US-Canada Border,10/01/2019 12:00:00 AM,Rail Containers Full,161254,7011
US-Canada Border,10/01/2019 12:00:00 AM,Train Passengers,16483,686
US-Canada Border,10/01/2019 12:00:00 AM,Trains,1937,84
US-Canada Border,10/01/2019 12:00:00 AM,Truck Containers Empty,121031,1657
US-Canada Border,10/01/2019 12:00:00 AM,Truck Containers Full,395638,5494
US-Canada Border,10/01/2019 12:00:00 AM,Trucks,501929,6604
US-Canada Border,09/01/2019 12:00:00 AM,Bus Passengers,171967,3821
US-Canada Border,09/01/2019 12:00:00 AM,Buses,7422,164
US-Canada Border,09/01/2019 12:00:00 AM,Pedestrians,58478,1624
US-Canada Border,09/01/2019 12:00:00 AM,Personal Vehicle Passengers,4284826,51009
US-Canada Border,09/01/2019 12:00:00 AM,Personal Vehicles,2314728,26915
US-Canada Border,09/01/2019 12:00:00 AM,Rail Containers Empty,64791,2817
US-Canada Border,09/01/2019 12:00:00 AM,Rail Containers Full,160742,6988
US-Canada Border,09/01/2019 12:00:00 AM,Train Passengers,27167,1181
US-Canada Border,09/01/2019 12:00:00 AM,Trains,1862,80
US-Canada Border,09/01/2019 12:00:00 AM,Truck Containers Empty,118166,1596
US-Canada Border,09/01/2019 12:00:00 AM,Truck Containers Full,378650,5186
US-Canada Border,09/01/2019 12:00:00 AM,Trucks,482147,6428
US-Canada Border,08/01/2019 12:00:00 AM,Bus Passengers,251296,5462
US-Canada Border,08/01/2019 12:00:00 AM,Buses,11126,236
US-Canada Border,08/01/2019 12:00:00 AM,Pedestrians,90021,2572
US-Canada Border,08/01/2019 12:00:00 AM,Personal Vehicle Passengers,6501513,77398
US-Canada Border,08/01/2019 12:00:00 AM,Personal Vehicles,3025266,35177
US-Canada Border,08/01/2019 12:00:00 AM,Rail Containers Empty,69277,3012
US-Canada Border,08/01/2019 12:00:00 AM,Rail Containers Full,165901,7213
US-Canada Border,08/01/2019 12:00:00 AM,Train Passengers,44569,1857
US-Canada Border,08/01/2019 12:00:00 AM,Trains,1960,85
US-Canada Border,08/01/2019 12:00:00 AM,Truck Containers Empty,127516,1656
US-Canada Border,08/01/2019 12:00:00 AM,Truck Containers Full,372308,5100
